query,method,rank,nct_id,title,score,source,bm25_rank,semantic_rank,search_time_ms
immunotherapy for non-small cell lung cancer,hybrid,1,NCT02845856,Combination of Cetuximab and NK Immunotherapy for Recurrent Non-small Cell Lung Cancer,0.030621785881252923,both,2,9,267.49
immunotherapy for non-small cell lung cancer,hybrid,2,NCT03007875,High-activity Natural Killer Immunotherapy for Small Metastases of Non-small Cell Lung Cancer,0.030330882352941176,both,4,8,267.49
immunotherapy for non-small cell lung cancer,hybrid,3,NCT06567704,Cancer-related Fatigue During Maintenance Immunotherapy for Non-small Cell Lung Cancer (NSCLC): a Qualitative Study,0.02749719416386083,both,21,6,267.49
CAR-T cell therapy for pediatric leukemia,bm25,1,NCT06847269,"CAR T CELL Therapy for Pediatric, Adolescent and Young Adult Patients With CD19-Positive Leukemia: An Investigation of Lymphodepleting Chemotherapy Pharmacokinetics",81.279816,,,,35.15
CAR-T cell therapy for pediatric leukemia,bm25,2,NCT06777979,CD19-CD22-Bispecific Chimeric Antigen Receptor (CAR) T Cell Therapy for Pediatric Patients With Acute Lymphoblastic Leukemia (1922CAR),80.37795,,,,35.15
CAR-T cell therapy for pediatric leukemia,bm25,3,NCT04571138,Pediatric and Young Adult Leukemia Adoptive Therapy (PLAT)-07: A Phase 1/2 Study of CD22-Specific CAR T Cells for CD22+ Leukemia or Lymphoma,79.436035,,,,35.15
CAR-T cell therapy for pediatric leukemia,semantic,1,NCT03296137,Adoptive Cell Therapy Across Cancer Diagnoses,0.9128510355949402,,,,53.7
CAR-T cell therapy for pediatric leukemia,semantic,2,NCT04265963,CD123-Targeted CAR-T Cell Therapy for Relapsed/Refractory Acute Myeloid Leukemia,0.9082064032554626,,,,53.7
CAR-T cell therapy for pediatric leukemia,semantic,3,NCT04473937,Radiation Therapy To Enhance CAR T Efficacy Early in Post-CAR T Cell Therapy Refractory Lymphoma: A Pilot Study,0.9077602624893188,,,,53.7
CAR-T cell therapy for pediatric leukemia,hybrid,1,NCT04265963,CD123-Targeted CAR-T Cell Therapy for Relapsed/Refractory Acute Myeloid Leukemia,0.02928692699490662,both,16,2,152.76
CAR-T cell therapy for pediatric leukemia,hybrid,2,NCT03186118,Pediatric and Young Adult Leukemia Adoptive Therapy (PLAT)-03: A Pilot Feasibility and Safety Study of CD19t T-Antigen Presenting Cells (T-APCs) Following CAR T Cell Immunotherapy for CD19+ Leukemia,0.022141372141372143,both,5,88,152.76
CAR-T cell therapy for pediatric leukemia,hybrid,3,NCT04473937,Radiation Therapy To Enhance CAR T Efficacy Early in Post-CAR T Cell Therapy Refractory Lymphoma: A Pilot Study,0.021755368814192343,both,110,3,152.76
clinical trial for glioblastoma that has come back,bm25,1,NCT05223764,Why Are They Not Coming Back? A Single-center Follow-up Study in Fertility Preservation in Oncological Women.,57.802994,,,,49.77
clinical trial for glioblastoma that has come back,bm25,2,NCT05704127,Clinical Study of Intelligent Moxibustion Robot in the Treatment of Low Back Pain: a Randomized Controlled Clinical Trial,51.047195,,,,49.77
clinical trial for glioblastoma that has come back,bm25,3,NCT05958485,Glioblastoma Multiforme Patients in Clinical Trials: An Examination of Their Clinical Trial Experiences,50.789597,,,,49.77
clinical trial for glioblastoma that has come back,semantic,1,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.898766040802002,,,,57.34
clinical trial for glioblastoma that has come back,semantic,2,NCT03590938,"Lynparza Tablets 100mg, 150mg CEI, Investigation on Development of Bone Marrow Depression in Patients With Unresectable or Recurrent BRCA Mutated HER2 Negative Breast Cancer Who Have Previously Received Anticancer Chemotherapy",0.8915314078330994,,,,57.34
clinical trial for glioblastoma that has come back,semantic,3,NCT03170310,"Apatinib Treatment for Advanced Esophagus Cancer ,One-armed，Exploratory，Openting , Clinical Trail.",0.8900818824768066,,,,57.34
clinical trial for glioblastoma that has come back,hybrid,1,NCT06552260,A Surgical Window of Opportunity Clinical Trial of Troriluzole in Recurrent IDH Wild-Type Glioblastoma,0.023581634068525453,both,29,21,135.61
clinical trial for glioblastoma that has come back,hybrid,2,NCT05223764,Why Are They Not Coming Back? A Single-center Follow-up Study in Fertility Preservation in Oncological Women.,0.01639344262295082,bm25_only,1,,135.61
clinical trial for glioblastoma that has come back,hybrid,3,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.01639344262295082,semantic_only,,1,135.61
melanomt with checkpoint inhibitors,bm25,1,NCT07340892,Prospective Study of NMR-based Serum Metabolic Profiles for the Diagnosis of Checkpoint Inhibitor-related Pneumonitis,48.699966,,,,11.29
melanomt with checkpoint inhibitors,bm25,2,NCT03963518,Immune-checkpoint Inhibitors and Surrogate Endpoints in Cancer Trials,48.313313,,,,11.29
melanomt with checkpoint inhibitors,bm25,3,NCT04805099,Real-world Safety and Efficacy Data of Checkpoint Inhibitors in Patients With Cancer and Underlying Autoimmune Disease: the Experience of the Hellenic Cooperative Oncology Group,47.37743,,,,11.29
melanomt with checkpoint inhibitors,semantic,1,NCT06988865,Benign Migratory Glossitis Associated With Antiangiogenic Drugs Used in Cancer Treatment,0.8994718790054321,,,,57.88
melanomt with checkpoint inhibitors,semantic,2,NCT03558932,IP3R Modulation by Cancer Genes Bcl-2 & PKM2 in Mesothelioma,0.8941063284873962,,,,57.88
melanomt with checkpoint inhibitors,semantic,3,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.8897618651390076,,,,57.88
melanomt with checkpoint inhibitors,hybrid,1,NCT07340892,Prospective Study of NMR-based Serum Metabolic Profiles for the Diagnosis of Checkpoint Inhibitor-related Pneumonitis,0.01639344262295082,bm25_only,1,,112.86
melanomt with checkpoint inhibitors,hybrid,2,NCT06988865,Benign Migratory Glossitis Associated With Antiangiogenic Drugs Used in Cancer Treatment,0.01639344262295082,semantic_only,,1,112.86
melanomt with checkpoint inhibitors,hybrid,3,NCT03963518,Immune-checkpoint Inhibitors and Surrogate Endpoints in Cancer Trials,0.016129032258064516,bm25_only,2,,112.86
prostate cancer trials for men over 65,bm25,1,NCT02139774,Feasibility of an Evidence-based Walking Program in a Sample of Men Age >65 Undergoing Treatment for Prostate Cancer,65.093346,,,,36.94
prostate cancer trials for men over 65,bm25,2,NCT00579072,The Impact of Androgen Ablation Therapy on Cognitive Functioning and Functional Status in Men With Prostate Cancer Age 65 and Older,59.031975,,,,36.94
prostate cancer trials for men over 65,bm25,3,NCT01671826,"Prospective, Observational, Multicenter Trial Evaluating Autologous Stem Cell Transplantation for Myeloma Patients Over the Age of 65",57.274452,,,,36.94
prostate cancer trials for men over 65,semantic,1,NCT03123263,Echocardiographic Changes During Adjuvant Therapy in Hispanic Women With Her-2 Neu Expressing Breast Cancer,0.9051424264907837,,,,50.08
prostate cancer trials for men over 65,semantic,2,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.9046682715415955,,,,50.08
prostate cancer trials for men over 65,semantic,3,NCT00196859,Ibandronate With or Without Capecitabine in Elderly Patients With Early Breast Cancer,0.9043142199516296,,,,50.08
prostate cancer trials for men over 65,hybrid,1,NCT00579072,The Impact of Androgen Ablation Therapy on Cognitive Functioning and Functional Status in Men With Prostate Cancer Age 65 and Older,0.021653894136517554,both,2,121,132.52
prostate cancer trials for men over 65,hybrid,2,NCT01126879,Phase 2 Trial of Genistein in Men With Circulating Prostate Cancer Cells,0.020743844944997383,both,23,55,132.52
prostate cancer trials for men over 65,hybrid,3,NCT02292524,Prostate Biomarkers in Men Consuming Tomato Products,0.019796191112596055,both,104,13,132.52
pancreatic cancer that has spread to the liver,bm25,1,NCT03398291,Simultaneous Resection of Pancreatic Cancer and Liver Oligometastasis After Induction Chemotherapy,51.088703,,,,28.28
pancreatic cancer that has spread to the liver,bm25,2,NCT07446946,Surgical Management of Pancreatic Cancer With Liver Metastasis (Oligometastasis),51.06615,,,,28.28
pancreatic cancer that has spread to the liver,bm25,3,NCT07407257,SBRT of Liver Tumors and Metastases and Pancreatic Tumors,45.02757,,,,28.28
pancreatic cancer that has spread to the liver,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.88554447889328,,,,50.37
pancreatic cancer that has spread to the liver,semantic,2,NCT05257434,Postoperative Outcomes in Patients With Hepato-biliary-pancreatic Cancer According to inBody Test,0.8850440979003906,,,,50.37
pancreatic cancer that has spread to the liver,semantic,3,NCT02283749,BrUOG L301: Xofigo Following Frontline-Line Chemotherapy For Patients With Non-Small Cell Lung Cancer and Bone Metastases,0.884537398815155,,,,50.37
pancreatic cancer that has spread to the liver,hybrid,1,NCT01774643,A Feasibility Study Of Developing Murine Primary Xenografts From Biopsies Of Liver Metastases In Patients With Advanced Pancreatic Cancer,0.02148217636022514,both,5,104,114.15
pancreatic cancer that has spread to the liver,hybrid,2,NCT03687853,Application of Intrahepatic Arterial Infusion Chemotherapy for Patients With High Risk of Liver Metastases After Pancreatic Cancer Surgery,0.01712123032560375,both,22,143,114.15
pancreatic cancer that has spread to the liver,hybrid,3,NCT03398291,Simultaneous Resection of Pancreatic Cancer and Liver Oligometastasis After Induction Chemotherapy,0.01639344262295082,bm25_only,1,,114.15
triple negative breast cancer neoadjuvant,bm25,1,NCT05910710,Impact of Immuno-Oncologic Agent on Neoadjuvant Chemotherapy in Triple Negative Breast Cancer,83.09472,,,,25.62
triple negative breast cancer neoadjuvant,bm25,2,NCT04582955,Chidamide Combined With Neoadjuvant Chemotherapy in Early Triple-negative Breast Cancer,82.17986,,,,25.62
triple negative breast cancer neoadjuvant,bm25,3,NCT03907800,Neoadjuvant Nab-paclitaxel in Triple-negative or HER2-positive Breast Cancer,79.91774,,,,25.62
triple negative breast cancer neoadjuvant,semantic,1,NCT00388895,"Positive Ph Acute Lymphoblastic Leucemia With Intensive Induction Chemotherapy and Glivec, Before and After the Hematopoetic Progenitor Transplant",0.7879016995429993,,,,49.35
triple negative breast cancer neoadjuvant,semantic,2,NCT05559151,Effect and Mechanism of Remimazolam Benzenesulfonate on Eenhanced Recovery After Surgery in Patients Undergoing Radical Gastrectomy for Gastric Cancer,0.7673211097717285,,,,49.35
triple negative breast cancer neoadjuvant,semantic,3,NCT02679040,Histological Response Rate After Mastectomy and Immediate Breast Reconstruction at the End of Neoadjuvant Chemotherapy and Radiotherapy,0.7659928202629089,,,,49.35
triple negative breast cancer neoadjuvant,hybrid,1,NCT05910710,Impact of Immuno-Oncologic Agent on Neoadjuvant Chemotherapy in Triple Negative Breast Cancer,0.031544957774465976,both,1,6,128.54
triple negative breast cancer neoadjuvant,hybrid,2,NCT05209529,Neoadjuvant Olaparib and Durvalumab for Patients With BRCA-associated Triple Negative Breast Cancer,0.018357487922705314,both,30,78,128.54
triple negative breast cancer neoadjuvant,hybrid,3,NCT06371807,"Immunogenicity Profile of Neoadjuvant Keytruda in Combination With Anthracycline Versus Carboplatin/PAclitaxel Containing Chemotherapy Regimen for The Treatment of Early-stage, TILs-Positive, Triple-Negative Breast CanceR",0.01832825976661593,both,156,13,128.54
colorectal cancer with microsatellite instability,bm25,1,NCT05162248,Clinicopathological Outcomes of Microsatellite Instability in Colorectal Cancer,109.575195,,,,20.73
colorectal cancer with microsatellite instability,bm25,2,NCT05511688,National Cohort of Colorectal Cancers With Microsatellite Instability,102.649734,,,,20.73
colorectal cancer with microsatellite instability,bm25,3,NCT03594448,Detection of Microsatellite Instability (MSI) in Circulating Tumor DNA of Patients With Stage IV Colorectal Carcinoma,87.796936,,,,20.73
colorectal cancer with microsatellite instability,semantic,1,NCT05559151,Effect and Mechanism of Remimazolam Benzenesulfonate on Eenhanced Recovery After Surgery in Patients Undergoing Radical Gastrectomy for Gastric Cancer,0.7606959342956543,,,,49.54
colorectal cancer with microsatellite instability,semantic,2,NCT00388895,"Positive Ph Acute Lymphoblastic Leucemia With Intensive Induction Chemotherapy and Glivec, Before and After the Hematopoetic Progenitor Transplant",0.7581863403320312,,,,49.54
colorectal cancer with microsatellite instability,semantic,3,NCT07387237,Multigene Germline Panel Testing in Gastric Cancer Patients in Portugal,0.7523878812789917,,,,49.54
colorectal cancer with microsatellite instability,hybrid,1,NCT05162248,Clinicopathological Outcomes of Microsatellite Instability in Colorectal Cancer,0.01639344262295082,bm25_only,1,,101.8
colorectal cancer with microsatellite instability,hybrid,2,NCT05559151,Effect and Mechanism of Remimazolam Benzenesulfonate on Eenhanced Recovery After Surgery in Patients Undergoing Radical Gastrectomy for Gastric Cancer,0.01639344262295082,semantic_only,,1,101.8
colorectal cancer with microsatellite instability,hybrid,3,NCT05511688,National Cohort of Colorectal Cancers With Microsatellite Instability,0.016129032258064516,bm25_only,2,,101.8
ovarian cancer PARP inhibitor maintenance,bm25,1,NCT06838429,Effect of PARP Inhibitors Maintenance Therapy on the Survival Rate of Advanced or Relapsed Epitherlial Ovarian Cancer: an Observational Cohort Study,88.910965,,,,23.02
ovarian cancer PARP inhibitor maintenance,bm25,2,NCT04582552,A Real-world Study of Clinical Markers for PARP Inhibitors in Epithelial Ovarian Cancer,86.76481,,,,23.02
ovarian cancer PARP inhibitor maintenance,bm25,3,NCT05704621,A Randomized Phase II Study of Secondary Cytoreductive Surgery (CRS) in Patients With Relapsed Ovarian Cancer Who Have Progressed on PARP Inhibitor Maintenance,77.689156,,,,23.02
ovarian cancer PARP inhibitor maintenance,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.9054001569747925,,,,56.59
ovarian cancer PARP inhibitor maintenance,semantic,2,NCT04796363,"Ultrasound Guided Erector Spinae Plane Block in Breast Cancer Surgery: Analgesia, Spread and Immunomodulation",0.8959705233573914,,,,56.59
ovarian cancer PARP inhibitor maintenance,semantic,3,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.8943405151367188,,,,56.59
ovarian cancer PARP inhibitor maintenance,hybrid,1,NCT04675320,Immuno Monitoring in Patient With Epithelial Ovarian Cancer Eligible to PARP Inhibitors,0.019954004329004328,both,4,171,110.92
ovarian cancer PARP inhibitor maintenance,hybrid,2,NCT06838429,Effect of PARP Inhibitors Maintenance Therapy on the Survival Rate of Advanced or Relapsed Epitherlial Ovarian Cancer: an Observational Cohort Study,0.01639344262295082,bm25_only,1,,110.92
ovarian cancer PARP inhibitor maintenance,hybrid,3,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.01639344262295082,semantic_only,,1,110.92
stage 4 kidney cancer immunotherapy combination,bm25,1,NCT02843607,Combination of Cryosurgery and NK Immunotherapy for Advanced Kidney Cancer,60.847775,,,,33.14
stage 4 kidney cancer immunotherapy combination,bm25,2,NCT04741074,A RAndomized trIal Examining the Effect of Subcutaneous Semaglutide on Kidney Transplant Candidacy for Patients With Stage 4-5 CKD or Dialysis-dependent ESKD,51.73876,,,,33.14
stage 4 kidney cancer immunotherapy combination,bm25,3,NCT02966717,The Clinical Study of Rituximab Combined With Mesenchymal Stem Cells in the Treatment of Primary Nephrotic Syndrome (3-4 Stage of Chronic Kidney Disease),50.751163,,,,33.14
stage 4 kidney cancer immunotherapy combination,semantic,1,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.74287348985672,,,,49.86
stage 4 kidney cancer immunotherapy combination,semantic,2,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.7415040731430054,,,,49.86
stage 4 kidney cancer immunotherapy combination,semantic,3,NCT02917369,Integrative Analysis of Large-cell Lung Carcinoma,0.7322835922241211,,,,49.86
stage 4 kidney cancer immunotherapy combination,hybrid,1,NCT02843607,Combination of Cryosurgery and NK Immunotherapy for Advanced Kidney Cancer,0.01639344262295082,bm25_only,1,,110.7
stage 4 kidney cancer immunotherapy combination,hybrid,2,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.01639344262295082,semantic_only,,1,110.7
stage 4 kidney cancer immunotherapy combination,hybrid,3,NCT04741074,A RAndomized trIal Examining the Effect of Subcutaneous Semaglutide on Kidney Transplant Candidacy for Patients With Stage 4-5 CKD or Dialysis-dependent ESKD,0.016129032258064516,bm25_only,2,,110.7
newly diagnosed multiple myeloma treatment,bm25,1,NCT06758375,Low-dose Teclistamab As Consolidation in the First-line Treatment of Patients with Newly Diagnosed Multiple Myeloma.,89.28675,,,,20.2
newly diagnosed multiple myeloma treatment,bm25,2,NCT06409702,A Single-arm Prospective Study of the Treatment in High-risk Newly Diagnosed Multiple Myeloma With Minimal Residual Disease Detection,79.70554,,,,20.2
newly diagnosed multiple myeloma treatment,bm25,3,NCT00287872,VELCADE (Bortezomib) and Thalidomide in Newly Diagnosed Patients With Multiple Myeloma,79.58072,,,,20.2
newly diagnosed multiple myeloma treatment,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.9010909199714661,,,,50.6
newly diagnosed multiple myeloma treatment,semantic,2,NCT06273878,From Fetal-maternal Interface Immune Tolerance to Endometrial Cancer Immune Escape: Potential Targets for Immunotherapy,0.8877674341201782,,,,50.6
newly diagnosed multiple myeloma treatment,semantic,3,NCT03493165,"Expanded Access to Everolimus, for an Individual Patient With Uterine Sarcoma (CTMS#18-0020)",0.8865727186203003,,,,50.6
newly diagnosed multiple myeloma treatment,hybrid,1,NCT00075881,"Phase II Study of PS-341 for Patients With High-Risk, Newly Diagnosed Multiple Myeloma",0.01760538180777213,both,29,97,133.48
newly diagnosed multiple myeloma treatment,hybrid,2,NCT03006315,Bio-monitoring of Newly Diagnosed Multiple Myeloma Patients Receiving Induction Chemotherapy Using Mobile Wearable Health Devices,0.016946778711484593,both,42,80,133.48
newly diagnosed multiple myeloma treatment,hybrid,3,NCT06758375,Low-dose Teclistamab As Consolidation in the First-line Treatment of Patients with Newly Diagnosed Multiple Myeloma.,0.01639344262295082,bm25_only,1,,133.48
HPV related head and neck cancer,bm25,1,NCT06133790,Assessment of Genomic Alterations and Profiles of Expression in HPV+ Versus HPV Head and Neck Cancers,76.25817,,,,24.32
HPV related head and neck cancer,bm25,2,NCT02657850,Multi-Institution Longitudinal Evaluation of Head and Neck Cancer Treatment - Related Dysphagia,69.824974,,,,24.32
HPV related head and neck cancer,bm25,3,NCT06345287,Response Adaptive Radiotherapy Following Immunotherapy-based Induction for Non-HPV Related Head and Neck Squamous Cell Carcinoma,69.807755,,,,24.32
HPV related head and neck cancer,semantic,1,NCT03738267,Study on the Occurrence of Head and Neck Cancers During Pregnancy,0.9059363603591919,,,,49.69
HPV related head and neck cancer,semantic,2,NCT01647425,Prevalence and Risk Factors for Persistent Tobacco or Alcohol Use Over the First Year of a First Lung or Head and Neck Cancer,0.90571528673172,,,,49.69
HPV related head and neck cancer,semantic,3,NCT02045186,Monitoring of Oral HPV Infection in HPV-positive Oropharyngeal Squamous Cell Carcinoma During and After Chemoradiotherapy (CRT),0.9048599600791931,,,,49.69
HPV related head and neck cancer,hybrid,1,NCT06730412,ctDNA Liquid Biopsy for Early Assessment of Residual Disease in HPV-associated Head and Neck Cancer (Clear-HPVca),0.028258706467661692,both,7,15,99.7
HPV related head and neck cancer,hybrid,2,NCT03738267,Study on the Occurrence of Head and Neck Cancers During Pregnancy,0.025243000145074714,both,53,1,99.7
HPV related head and neck cancer,hybrid,3,NCT07029854,Laser Acupoints Stimulation on Xerostomia Related Chemoradiotherapy for Head and Neck Cancer Patients,0.022604422604422605,both,14,50,99.7
sarcoma clinical trials for young adults,bm25,1,NCT05952310,"Multicenter, Open-label, Phase I/II Clinical Trial of Infusion of Activated NK Cells for the Treatment of Children, Adolescents and Young Adults With Sarcomas",64.03369,,,,26.18
sarcoma clinical trials for young adults,bm25,2,NCT06796543,Targeted Oligometastatic Radiation in Pediatric and Young Adult Patients With Soft Tissue and Bone Sarcoma,59.550232,,,,26.18
sarcoma clinical trials for young adults,bm25,3,NCT00470275,Phase II Trial of Intermediate-Dose Cytarabine to Modulate EWS/FLI for Children and Young Adults With Recurrent or Refractory Ewing Sarcoma,57.76631,,,,26.18
sarcoma clinical trials for young adults,semantic,1,NCT07456436,Data-Driven Strategies for Patient Engagement About Cancer Clinical Trials,0.9081079959869385,,,,54.4
sarcoma clinical trials for young adults,semantic,2,NCT00076531,Clinical Trial for Prostate Cancer,0.9023061990737915,,,,54.4
sarcoma clinical trials for young adults,semantic,3,NCT02884102,Clinical-grade Molecular Profiling of Patients With Multiple Myeloma and Related Plasma Cell Malignancies,0.8971508145332336,,,,54.4
sarcoma clinical trials for young adults,hybrid,1,NCT05952310,"Multicenter, Open-label, Phase I/II Clinical Trial of Infusion of Activated NK Cells for the Treatment of Children, Adolescents and Young Adults With Sarcomas",0.01639344262295082,bm25_only,1,,92.2
sarcoma clinical trials for young adults,hybrid,2,NCT07456436,Data-Driven Strategies for Patient Engagement About Cancer Clinical Trials,0.01639344262295082,semantic_only,,1,92.2
sarcoma clinical trials for young adults,hybrid,3,NCT06796543,Targeted Oligometastatic Radiation in Pediatric and Young Adult Patients With Soft Tissue and Bone Sarcoma,0.016129032258064516,bm25_only,2,,92.2
targeted therapy for EGFR mutated lung cancer,bm25,1,NCT07287904,A Retrospective Analysis Study on Predicting the Efficacy of Targeted Therapy in Lung Cancer Patients With EGFR Mutations Based on AI-driven Multimodal Data,78.71607,,,,33.09
targeted therapy for EGFR mutated lung cancer,bm25,2,NCT06730477,Based on Plasma Exosomes Combined With Multi-omics Analysis to Reveal the Trajectory of Targeted Therapy Resistance and Novel Target Intervention Therapy in Patients With EGFR Mutation in Lung Adenocarcinoma,77.98116,,,,33.09
targeted therapy for EGFR mutated lung cancer,bm25,3,NCT06771960,Association Between Residual Viable Tumor and Prognosis After Neoadjuvant Targeted Therapy in EGFR-Mutated Non-small Cell Lung Cancer,72.45738,,,,33.09
targeted therapy for EGFR mutated lung cancer,semantic,1,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.9227266907691956,,,,48.27
targeted therapy for EGFR mutated lung cancer,semantic,2,NCT03715309,R2 in the Treatment of Follicular Lymphoma Grade 1-3A,0.9065112471580505,,,,48.27
targeted therapy for EGFR mutated lung cancer,semantic,3,NCT04155541,Special Investigation for Vizimpro Tablets,0.90494704246521,,,,48.27
targeted therapy for EGFR mutated lung cancer,hybrid,1,NCT02804776,PROGRESS: PRe-Operative Gefitinib in Resectable EGFR Mutation Positive Lung Cancer With Sector Sequencing for Biomarker Discovery,0.02266081871345029,both,54,12,102.62
targeted therapy for EGFR mutated lung cancer,hybrid,2,NCT06716580,EQUAL: EGFR ctDNA QUantative Assessment for Lung Cancer Screening in Asian and Latinx Populations,0.019007005787389585,both,185,7,102.62
targeted therapy for EGFR mutated lung cancer,hybrid,3,NCT07287904,A Retrospective Analysis Study on Predicting the Efficacy of Targeted Therapy in Lung Cancer Patients With EGFR Mutations Based on AI-driven Multimodal Data,0.01639344262295082,bm25_only,1,,102.62
liver cancer hepatocellular carcinoma systemic therapy,bm25,1,NCT05484908,Efficacy and Safety of Artificial Liver Support System Treatment for Immune Checkpoint Inhibitors Related Liver Failure in Patients With Hepatocellular Carcinoma,66.36861,,,,36.31
liver cancer hepatocellular carcinoma systemic therapy,bm25,2,NCT05366829,Tislelizumab Consolidation After Liver-Directed Therapy for Hepatocellular Carcinoma,64.77534,,,,36.31
liver cancer hepatocellular carcinoma systemic therapy,bm25,3,NCT06644430,Ablation of Pulmonary Oligometastasis Combined With System Compared System Therapy for Advanced Hepatocellular Carcinoma: a Multicenter Retrospective Study,63.129414,,,,36.31
liver cancer hepatocellular carcinoma systemic therapy,semantic,1,NCT04796363,"Ultrasound Guided Erector Spinae Plane Block in Breast Cancer Surgery: Analgesia, Spread and Immunomodulation",0.8999770879745483,,,,50.51
liver cancer hepatocellular carcinoma systemic therapy,semantic,2,NCT05515796,Clinical Application of Efficacy Prediction Model Based on Epigenetics Multi-omics Sequencing in Neoadjuvant Immunotherapy of Gastrointestinal Tumors,0.8999652862548828,,,,50.51
liver cancer hepatocellular carcinoma systemic therapy,semantic,3,NCT03925662,Clinical Study Evaluating Mebendazole as Adjuvant Therapy in Patients With Colorectal Cancer,0.8990509510040283,,,,50.51
liver cancer hepatocellular carcinoma systemic therapy,hybrid,1,NCT06644430,Ablation of Pulmonary Oligometastasis Combined With System Compared System Therapy for Advanced Hepatocellular Carcinoma: a Multicenter Retrospective Study,0.02110861796725671,both,3,131,109.72
liver cancer hepatocellular carcinoma systemic therapy,hybrid,2,NCT05484908,Efficacy and Safety of Artificial Liver Support System Treatment for Immune Checkpoint Inhibitors Related Liver Failure in Patients With Hepatocellular Carcinoma,0.01639344262295082,bm25_only,1,,109.72
